Sr No,date,startup,vertical,subvertical,city,investors,round,amount
255,2018-06-28,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,10.5567
256,2018-06-28,Edureka,Ed-Tech,Online Education Platform,Bengaluru,Leo Capital,Seed/ Angel Funding,19.194
257,2018-06-29,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkatta,Shiva Gunapu & Others,Seed/ Angel Funding,0.0
258,2018-05-02,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,4.31865
259,2018-05-02,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,B Capital,Private Equity,211.134
259,2018-05-02,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,International Finance Corporation (IFC),Private Equity,211.134
259,2018-05-02,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,Accel Partners and IDG Ventures,Private Equity,211.134
260,2018-05-03,Disprz,IT,SaaS,Chennai,IL&FS Private Equity,Seed / Angel Funding,23.9925
260,2018-05-03,Disprz,IT,SaaS,Chennai,Kae Capital & Others,Seed / Angel Funding,23.9925
261,2018-05-07,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,Undiscolsed,Seed / Angel Funding,2.159325
262,2018-05-09,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,Unitus Ventures,Seed / Angel Funding,9.597
262,2018-05-09,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,Behram Vakil and Jerxis Vandrevala,Seed / Angel Funding,9.597
263,2018-05-11,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,9.107553
264,2018-05-14,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Sunil Munjal,Private Equity,230.328
264,2018-05-14,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Harsh Mariwala,Private Equity,230.328
264,2018-05-14,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Dalip Pathak and Others,Private Equity,230.328
265,2018-05-16,mfine,Healthcare,Doctor-Consultation App,Bengaluru,Prime Venture Partners,Private Equity,40.3074
265,2018-05-16,mfine,Healthcare,Doctor-Consultation App,Bengaluru,Stellaris Venture Partners and Mayur Abhaya Srisrimal,Private Equity,40.3074
266,2018-05-21,Rocketium,Technology,Online Video Creation Platform,Bengaluru,Blume ventures,Seed/ Angel Funding,2.8791
267,2018-05-21,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,Kalaari Capital,Private Equity,67.179
267,2018-05-21,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,Unilever Ventures and Blume Ventures,Private Equity,67.179
268,2018-05-22,Vola,Finance,Micro Lending Platform,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,4.7985
269,2018-05-22,Cashkumar,Consumer Internet,P2P Lending Platform,Bengaluru,LetsVenture,Seed/ Angel Funding,7.053795
270,2018-05-23,Edyoo,E-Commerce,Products For Shoolgoing Children,Bengaluru,RS Shanbag,Seed/ Angel Funding,7.053795
271,2018-05-23,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,Insistor,Seed/ Angel Funding,19.194
271,2018-05-23,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,Oikocredit,Seed/ Angel Funding,19.194
272,2018-05-24,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,Ashish Kacholi,Seed/ Angel Funding,19.194
272,2018-05-24,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,S Chand Group,Seed/ Angel Funding,19.194
273,2018-05-24,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,2.811921
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,Amazon,Seed/ Angel Funding,115.164
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,Ashish Dhawan,Seed/ Angel Funding,115.164
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,Catamaran Ventures,Seed/ Angel Funding,115.164
274,2018-05-27,Acko,Consumer Internet,Online Insurance Platform,Mumbai,NR Narayana Murthy.,Seed/ Angel Funding,115.164
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,Prashant Mehta,Seed/ Angel Funding,1.9194
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,Mitali Pawar,Seed/ Angel Funding,1.9194
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,Nikhil G and Bhavesh P,Seed/ Angel Funding,1.9194
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,R Ranganathan,Seed/ Angel Funding,1.9194
275,2018-05-28,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,ONCOTRUST and Medintel Services Pvt. Ltd,Seed/ Angel Funding,1.9194
276,2018-05-29,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,Kalaari Capital,Seed/ Angel Funding,14.3955
276,2018-05-29,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,Omidyar Network and Accion Venture Labs,Seed/ Angel Funding,14.3955
277,2018-05-29,Tonetag,Technology,Mobile Payments Technology Platform,Bengaluru,Amazon Inc. and Mastercard,Private Equity,76.776
278,2018-05-30,Events High,Consumer Internet,Events and Activities Discovery Platform,Bengaluru,Treebo,Private Equity,0.0
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,IndusAge Partners,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,Bill & Melinda Gates Foundation,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,Qualcomm Venture,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,ABB Technology Ventures,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,Omnivore,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,Blume Ventures,Private Equity,134.358
279,2018-05-30,Stellaps,Technology,Iot Application Platform In Agriculture,Bengaluru,Venture Highway and BEENEXT,Private Equity,134.358
280,2018-05-31,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,Accion Venture Lab,Seed/ Angel Funding,12.4761
280,2018-05-31,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,YourNest Venture Capital And Other Angel Investors,Seed/ Angel Funding,12.4761
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Exfinity Venture,Private Equity,19.194
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Saha fund Partners,Private Equity,19.194
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Arihant Patni of Patni Family Office,Private Equity,19.194
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Anjali Bansal,Private Equity,19.194
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Shardul Amarchand Mangaldas,Private Equity,19.194
281,2018-04-02,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,Satish Khanna and Taparia family office.,Private Equity,19.194
282,2018-04-02,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,2.9520372
283,2018-04-02,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,Vishal Bali,Seed / Angel Funding,0.0
283,2018-04-02,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,Yogesh Misra,Seed / Angel Funding,0.0
283,2018-04-02,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,Thomas Assessments and others,Seed / Angel Funding,0.0
284,2018-04-02,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,Undiscolsed,Seed / Angel Funding,12.4761
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,ChrysCapital,Private Equity,527.835
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,Existing investors,Private Equity,527.835
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,Elevar Equity,Private Equity,527.835
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,LGT Impact,Private Equity,527.835
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,Omidyar Network and Kaizen Private Equity also participated in the round,Private Equity,527.835
286,2018-04-05,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,Maheshwar Peri,Seed / Angel Funding,1.43955
286,2018-04-05,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,founder and chairman of career information portal Careers360,Seed / Angel Funding,1.43955
286,2018-04-05,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,and Jamshed Jeejeebhoy,Seed / Angel Funding,1.43955
286,2018-04-05,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels,Seed / Angel Funding,1.43955
287,2018-04-05,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,Accel Partners,Private Equity,95.97
287,2018-04-05,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,Tiger Global And Others,Private Equity,95.97
288,2018-04-09,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,26.8716
289,2018-04-09,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,9.597
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Matrix Partner,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Amrish Rau,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Investopad,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Digital Currency Group,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Hinduja Group,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Lightspeed India,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Eight Innovate,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Amit Ranjan,Seed / Angel Funding,0.0
290,2018-04-09,Elemential,Technology,Blockchain Platform,Mumbai,Prashant Malik and others,Seed / Angel Funding,0.0
291,2018-04-09,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,Undiscolsed,Seed / Angel Funding,0.44280558
292,2018-04-10,Loanzen,Finance,Digital Lending Platform In Logistics,Bengaluru,Kae Capital Management,Seed / Angel Funding,0.0
293,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,Fundamentum,Private Equity,115.164
293,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,SAIF Partners,Private Equity,115.164
293,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,Bessemer Venture Partners,Private Equity,115.164
293,2018-04-10,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,RB investments & Others,Private Equity,115.164
294,2018-04-12,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,SRI Capital,Seed / Angel Funding,9.597
294,2018-04-12,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,Waterbridge Ventures and ThinKuvate,Seed / Angel Funding,9.597
295,2018-04-12,AyeFinance,Finance,Online Lending Platform,Gurugram,BlueOrchard Finance Ltd,Debt Funding,44.1462
295,2018-04-12,AyeFinance,Finance,Online Lending Platform,Gurugram,Hinduja Leyland Finance and IntelleGrow,Debt Funding,44.1462
296,2018-04-13,mintifi,Finance,Online Lending Platform,Mumbai,Lok Capital,Seed / Angel Funding,19.194
297,2018-04-16,icanstay,Consumer Internet,Online Platform For Luxury Hotel Stay For Business Travelers,Delhi,Mr. Manoj Prasad,Seed / Angel Funding,4.7985
298,2018-04-16,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,Rajan Anandan,Seed / Angel Funding,0.0
298,2018-04-16,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,Madhusudhan Kannan,Seed / Angel Funding,0.0
298,2018-04-16,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,Jayant Kadambi,Seed / Angel Funding,0.0
298,2018-04-16,Pregbuddy,Healthcare,Connected Care App For Pregnant Women,Bengaluru,Puneet Gupta and Pradeep K Jaisingh,Seed / Angel Funding,0.0
299,2018-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,International Finance Corporation,Private Equity,211.134
299,2018-04-18,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Transamerica and others.,Private Equity,211.134
300,2018-04-19,Lenskart,Consumer Internet,Online Eyewear Retailer,Faridabad,TR Capital,Private Equity,0.0
301,2018-04-19,mamaearth,Healthcare,Online Baby care Products,Gurugram,Shilpa Shetty Kundra,Private Equity,0.0
302,2018-04-19,Fyle Technologies,Technology,AI Based Expense Management Platform,Bengaluru,Pravega Ventures and Beenext,Seed / Angel Funding,10.5567
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,Gurugram,Line Ventures Corporation,Private Equity,220.731
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,Gurugram,Line Corp,Private Equity,220.731
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,Gurugram,Naver,Private Equity,220.731
303,2018-04-19,True Balance,Technology,Mobile Balance Checking App,Gurugram,Shinhan Bank and TS Investment,Private Equity,220.731
304,2018-04-22,Visit,Healthcare,AI Driven Health tech Platform,Delhi,Biz Stone,Private Equity,0.0
304,2018-04-22,Visit,Healthcare,AI Driven Health tech Platform,Delhi,Kunal Bahl,Private Equity,0.0
304,2018-04-22,Visit,Healthcare,AI Driven Health tech Platform,Delhi,Rohit Bansal,Private Equity,0.0
304,2018-04-22,Visit,Healthcare,AI Driven Health tech Platform,Delhi,Alagu Periyannan and Karthee Madasamy,Private Equity,0.0
305,2018-04-22,Doxper,Healthcare,Digitized Health-Tech Solutions For Practitioners,Mumbai,Vidal Healthcare,Seed / Angel Funding,18.2343
306,2018-04-22,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Sunil Munjal,Private Equity,105.567
306,2018-04-22,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Harsh Mariwala,Private Equity,105.567
306,2018-04-22,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,Dalip Pathak and Others,Private Equity,105.567
307,2018-04-23,Mihuru,Finance,Online Platform Providing Micro Loans For Air Travel,Mumbai,Undiscolsed,Seed / Angel Funding,1.43955
308,2018-04-23,Capital Float,Finance,Online Lending Platform,Bengaluru,Amazon,Private Equity,211.134
309,2018-04-25,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,GEMS Advisory,Seed / Angel Funding,2.360862
309,2018-04-25,Trip shelf,Consumer Internet,Online Travel Marketplace,Delhi,Alok Mittal and Sachin Bhatia,Seed / Angel Funding,2.360862
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,Neoplux,Private Equity,52.7835
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,OPPO,Private Equity,52.7835
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,IDG Ventures India,Private Equity,52.7835
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,Kalaari Capital,Private Equity,52.7835
310,2018-04-26,POPxo,Technology,Women Focussed Digital Media Platform,Delhi,GREE Ventures and Summit Media,Private Equity,52.7835
311,2018-04-26,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,Omidyar Network,Private Equity,0.0
311,2018-04-26,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,Nandan Nilekani,Private Equity,0.0
311,2018-04-26,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,Blume Ventures,Private Equity,0.0
311,2018-04-26,RailYatri,Consumer Internet,Online Travel Ticketing Platform,Noida,Helion Venture Partners,Private Equity,0.0
312,2018-04-27,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,Sequoia Capital,Private Equity,95.97
312,2018-04-27,1mg,Consumer Internet,Online Pharmacy Store,Gurugram,Maverick Capital Ltd and HBM Healthcare Investments Ltd,Private Equity,95.97
313,2018-04-29,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,Emery Capital,Private Equity,0.0
313,2018-04-29,Rubique,Consumer Internet,Online Lending MarketPlace,Mumbai,Blacksoil and Kalaari Capital,Private Equity,0.0
314,2018-04-30,Samco,Consumer Internet,Online Stock Broker,Mumbai,Bay Capital Investments and Others,Private Equity,71.9775
315,2018-04-30,MyLoanCare,Finance,B2C Online Loans Marketplace,Gurgaon,SAR Group,Seed / Angel Funding,9.385866
316,2018-03-01,PharmEasy,Consumer Internet,Online Pharmacy Store,Mumbai,Bessemer Venture Partners and Orios Venture Partners,Private Equity,0.0
316,2018-03-01,PharmEasy,Consumer Internet,Online Pharmacy Store,Mumbai,JM Financials and MEMG,Private Equity,0.0
317,2018-03-01,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,28.791
318,2018-03-01,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,Sequoia Capital,Private Equity,115.164
318,2018-03-01,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,SAIF Partners and Kalaari capital,Private Equity,115.164
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,Baskar Subramanian,Seed / Angel Funding,2.39925
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,Saket Kumar,Seed / Angel Funding,2.39925
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,Gaurav Suri and Ankit Kesarwani,Seed / Angel Funding,2.39925
320,2018-03-04,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,9.597
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,Ranjan Pai,Private Equity,20.1537
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,Apoorva Patni,Private Equity,20.1537
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,Beenext Ventures,Private Equity,20.1537
321,2018-03-05,Wellthy,Healthcare,Therapeutics,Mumbai,GrowX Ventures,Private Equity,20.1537
322,2018-03-05,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,HDFC Life,Private Equity,95.97
322,2018-03-05,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,HDFC Asset Management,Private Equity,95.97
323,2018-03-05,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,57.582
324,2018-03-05,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,Vertex Ventures,Private Equity,47.985
324,2018-03-05,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,Accel Partners and Saama Capital,Private Equity,47.985
325,2018-03-04,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,10.5567
326,2018-03-06,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,93.0909
327,2018-03-06,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,72.9372
328,2018-03-08,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,368.5248
329,2018-03-08,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,9.597
330,2018-03-12,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,9.597
331,2018-03-13,PineLabs,Technology,Digital Payment Platform,Mumbai,Actis,Private Equity,786.954
331,2018-03-13,PineLabs,Technology,Digital Payment Platform,Mumbai,Altimeter Capital,Private Equity,786.954
332,2018-03-14,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,Venkat Subramanian,Seed / Angel Funding,0.0
332,2018-03-14,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,Sudhakar Pennam,Seed / Angel Funding,0.0
332,2018-03-14,Stumagz,Consumer Internet,Online Communication and Collaboration Platform For Educational Institutions,Hyderabad,and other tech investors from Silicon Valley,Seed / Angel Funding,0.0
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Matrix Partners,Private Equity,165.0684
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Bhavish Aggarwal,Private Equity,165.0684
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Ankit Bhati,Private Equity,165.0684
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Binny Bansal,Private Equity,165.0684
333,2018-03-14,AvailFinance,Consumer Internet,Online Lending Platform,Bengaluru,Kunal Shah and Manish Patel.,Private Equity,165.0684
334,2018-03-15,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,SoftBank,Private Equity,595.014
334,2018-03-15,Grofers,Consumer Internet,Online Grocery Shop,Gurugram,Tiger Global and Apoletto Managers.,Private Equity,595.014
335,2018-03-19,Fingerlix,Consumer Internet,Ready To cook Food Solution,Mumbai,Alteria Capital,Debt Funding,12.57207
336,2018-03-19,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,1Crowd,Seed / Angel Funding,4.7985
336,2018-03-19,Karma Healthcare,Healthcare,Technology enabled equitable healthcare for India,Udaipur,Ankur Capital,Seed / Angel Funding,4.7985
337,2018-03-19,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,Amit Burman,Seed / Angel Funding,28.791
337,2018-03-19,Zappfresh,Food & Beverages,Online Raw Meat E-tailer,Gurugram,SIDBI Venture Capital,Seed / Angel Funding,28.791
338,2018-03-19,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,Pi Ventures,Seed / Angel Funding,9.597
338,2018-03-19,CustomerSucessBox,Technology,Customer Success Software for B2B SaaS,Gurugram,Axilor Ventures,Seed / Angel Funding,9.597
339,2018-03-20,One Labs,Consumer Internet,Consumer Technology and Artificial Intelligence Based Aggregator App,Undiscolsed,Micromax Informatics Ltd,Private Equity,0.0
340,2018-03-21,GigIndia,Consumer Internet,Micro Jobs Provider For Students,Pune,Jessica Wong,Seed / Angel Funding,0.0
340,2018-03-21,GigIndia,Consumer Internet,Micro Jobs Provider For Students,Pune,Hiro Mashita,Seed / Angel Funding,0.0
340,2018-03-21,GigIndia,Consumer Internet,Micro Jobs Provider For Students,Pune,Xue Manzi and Yiyun Zhang.,Seed / Angel Funding,0.0
341,2018-03-22,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,Insight Venture Partners,Private Equity,172.746
341,2018-03-22,Chargebee,Technology,Subscription Billing & Recurring Payments Software,Chennai,Accel Partners and Tiger Global Management.,Private Equity,172.746
342,2018-03-22,i2i Funding,Consumer Internet,Online loan platform,Noida,SucSEED Venture Partners,Seed / Angel Funding,7.370496
343,2018-03-22,Slang Labs,Technology,Voice-based assistant platform,Bengaluru,Endiya Partners,Seed / Angel Funding,11.90028
344,2018-03-22,UrbanPiper,Technology,Online ordering solution for restaurants and food chains,Bengaluru,Kumar Vembu,Seed / Angel Funding,0.0
344,2018-03-22,UrbanPiper,Technology,Online ordering solution for restaurants and food chains,Bengaluru,Axilor Ventures,Seed / Angel Funding,0.0
345,2018-03-26,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,Initia Holdings,Seed / Angel Funding,9.597
345,2018-03-26,Cash Suvidha,Consumer Internet,Online loan platform,Delhi,Vipin Agarwal and others.,Seed / Angel Funding,9.597
346,2018-03-28,Roadcast,Technology,Fleet management and asset monitoring platform,Delhi,Undiscolsed,Private Equity,2.39925
347,2018-03-28,Smartcoin,Finance,Micro lending company,Bengaluru,Accion Venture Lab,Seed / Angel Funding,19.194
347,2018-03-28,Smartcoin,Finance,Micro lending company,Bengaluru,Unicorn India Ventures and ISME ACE.,Seed / Angel Funding,19.194
348,2018-03-27,The Print,Media,News portal,Delhi,Ratan Tata,Seed / Angel Funding,5.134395
349,2018-03-27,DriveU,Technology,Professional Car Drivers Hiring App,Bengaluru,Amit Singhal and Unitus Seed Fund,Private Equity,28.791
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Google,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Kae Capital,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,IIFL,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Singularity Ventures,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,GrowX,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Tracxn Labs,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Venture Catalyst,Seed / Angel Funding,0.0
350,2018-03-29,Fynd,Consumer Internet,O2O fashion ecommerce platform,Mumbai,Patni family office and Axis Capital.,Seed / Angel Funding,0.0
351,2018-02-01,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,Alibaba,Private Equity,2879.1
351,2018-02-01,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,Helion Venture Partners,Private Equity,2879.1
351,2018-02-01,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,Bessemer Venture Partners,Private Equity,2879.1
351,2018-02-01,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,Ascent Capital,Private Equity,2879.1
352,2018-02-01,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,1919.4
353,2018-02-05,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,41.2671
354,2018-02-05,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,201.537
355,2018-02-05,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,Man Capital LLP,Private Equity,19.194
355,2018-02-05,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,Girnar Software,Private Equity,19.194
355,2018-02-05,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,Others,Private Equity,19.194
356,2018-02-06,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,Bhavesh Manglani,Seed funding,0.0
356,2018-02-06,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,Suraj Saharan,Seed funding,0.0
356,2018-02-06,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,Darshan Upadhyay,Seed funding,0.0
356,2018-02-06,Foodmemories,Consumer Internet,Online Food Marketplace,Ahemdabad,Sanjay Notani & Others,Seed funding,0.0
